aX,aY,aZ,gX,gY,gZ
-2.101,1.160,-2.309,-26.489,-288.147,-259.827
-2.268,0.892,-1.828,-32.898,-408.508,-292.419
-2.290,0.705,-1.449,-30.090,-500.977,-304.199
-2.161,0.581,-1.114,-27.588,-551.025,-303.284
-1.938,0.463,-0.860,-20.264,-582.092,-299.316
-1.720,0.351,-0.619,-19.775,-599.548,-293.091
-1.465,0.207,-0.443,-6.775,-603.882,-289.917
-1.270,0.072,-0.271,-0.671,-605.957,-280.212
-1.090,-0.027,-0.105,-8.423,-600.586,-258.362
-0.883,-0.089,0.030,-10.681,-583.008,-226.318
-0.689,-0.113,0.146,-9.338,-556.091,-188.904
-0.472,-0.096,0.233,-0.793,-517.456,-151.123
-0.234,-0.066,0.275,21.362,-469.543,-120.789
-0.027,-0.067,0.281,56.702,-422.485,-103.271
0.113,-0.107,0.285,84.473,-383.972,-95.764
0.212,-0.167,0.295,99.487,-354.858,-88.196
0.297,-0.232,0.311,96.985,-333.557,-75.745
0.342,-0.278,0.346,77.759,-321.106,-59.204
0.333,-0.273,0.400,48.889,-312.927,-40.955
0.318,-0.234,0.446,24.719,-302.673,-12.146
0.337,-0.188,0.481,12.085,-290.894,35.828
0.340,-0.136,0.526,-5.371,-281.860,90.942
